"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","36.3","%","607934","220721","39.2","33.4"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","No qualifications","40.3","%","3733999","1504985","41","39.6"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","62.8","%","93000","58413","67.2","58.4"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","Unknown","58.6","%","116015","67951","62.7","54.4"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","74.9","%","31994558","23971716","75.1","74.7"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","66.8","%","343093","229289","70.8","62.9"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","64.3","%","2256867","1451367","65.8","62.8"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","66.2","%","974076","645157","68.6","63.8"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","65.4","%","758381","495758","68","62.7"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","65.1","%","4332417","2821571","66.2","64"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","55.8","%","23307","13015","70.9","40.8"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","All","73.7","%","36350282","26806302","73.9","73.5"
"% in employment","White","ONS 5+1","2013","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","89.5","%","5373711","4809053","89.9","89.1"
"% in employment","Mixed","ONS 5+1","2013","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","87.1","%","56919","49584","94","80.2"
"% in employment","Asian or Asian British","ONS 5+1","2013","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","90.4","%","517930","468206","92.4","88.4"
